INDEX,FLARE_START,FLARE_PEAK,FLARE_END,CLASS,AIA_LOC,AIA_XCEN,AIA_YCEN,LOC,NOAA_AR,RSI_OBSERVED,RSI_FLARE_TRIGGERED,RSI_FRAC_OBS,RSI_FRAC_OBS_RISE,RSI_FRAC_OBS_FALL,FERMI_OBSERVED,FERMI_FRAC_OBS,FERMI_FRAC_OBS_RISE,FERMI_FRAC_OBS_FALL,MEGSA_OBSERVED,MEGSB_OBSERVED,MEGSB_FRAC_OBS,MEGSB_FRAC_OBS_RISE,MEGSB_FRAC_OBS_FALL,EIS_OBSERVED,EIS_FRAC_OBS,EIS_FRAC_OBS_RISE,EIS_FRAC_OBS_FALL,XRT_OBSERVED,XRT_RISE_OBSERVED,XRT_FALL_OBSERVED,SOT_OBSERVED,SOT_RISE_OBSERVED,SOT_FALL_OBSERVED,IRIS_OBSERVED,IRIS_FRAC_OBS,IRIS_FRAC_OBS_RISE,IRIS_FRAC_OBS_FALL,gstart,gpeak,gend,gclass,contrasts,sxr_max,sxrderivmax_t,sxrderivmax,tempmax_t,tempmax,tempderivmax_t,tempderivmax,emismax_t,emismax,emisderivmax_t,emisderivmax
1558,2011-03-09 23:13:00,2011-03-09 23:23:00,2011-03-09 23:29:00,X1.5,,0.0,0.0,N08W09,11166.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0, 9-Mar-2011 23:13:00, 9-Mar-2011 23:23:00, 9-Mar-2011 23:13:00,X1.5,11.3535,0.000225757,491.514,1.79993e-06,518.137,18.909,438.267,0.0692264,675.83,7.90741,491.514,0.0547218
2792,2011-09-06 22:12:00,2011-09-06 22:20:00,2011-09-06 22:24:00,X2.1,N11W17,286.52,118.11,N14W18,11283.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0, 6-Sep-2011 22:12:00, 6-Sep-2011 22:20:00, 6-Sep-2011 22:12:00,X2.1,16.5987,0.00030966,405.5,3.93927e-06,425.98,21.3574,393.214,0.183491,544.764,10.7122,403.454,0.110104
2799,2011-09-07 22:32:00,2011-09-07 22:38:00,2011-09-07 22:44:00,X1.8,N11W30,477.467,129.023,N14W28,11283.0,0,0,0.0,0.0,0.0,1,0.814753,1.0,0.629505,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0, 7-Sep-2011 22:32:00, 7-Sep-2011 22:38:00, 7-Sep-2011 22:32:00,X1.8,29.1601,0.00026522,290.81,3.55655e-06,339.963,17.9191,231.42,0.14348,411.643,8.74042,290.81,0.113961
4114,2012-03-07 00:02:00,2012-03-07 00:24:00,2012-03-07 00:40:00,X5.4,N28E34,-475.076,397.083,,11429.0,1,0,0.15614,0.0,0.370833,1,0.245904,0.0,0.584021,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,1,1,0,0,0.0,0.0,0.0, 7-Mar-2012 00:02:00, 7-Mar-2012 00:24:00, 7-Mar-2012 00:02:00,X5.4,15.6895,0.000779895,950.267,1.96995e-06,956.407,20.1684,239.617,0.0706791,1406.967,25.9083,950.267,0.0585948
4115,2012-03-07 01:05:00,2012-03-07 01:14:00,2012-03-07 01:23:00,X1.3,N26E28,-410.789,355.36,N22E12,11430.0,0,0,0.0,0.0,0.0,1,1.0,1.0,1.0,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0, 7-Mar-2012 01:05:00, 7-Mar-2012 01:14:00, 7-Mar-2012 01:05:00,X1.3,10.4729,0.000197023,186.366,1.47015e-07,651.26,14.0494,124.926,0.00798333,636.923,7.45307,262.143,0.00419834
4128,2012-03-09 03:22:00,2012-03-09 03:53:00,2012-03-09 04:18:00,M6.3,N27W03,49.0381,366.984,,11429.0,1,1,0.770238,0.585837,1.0,1,0.894244,0.808957,1.0,1,0,0.0,0.0,0.0,1,0.342857,0.619355,0.0,1,1,1,0,0,0,0,0.0,0.0,0.0, 9-Mar-2012 03:22:00, 9-Mar-2012 03:53:00, 9-Mar-2012 03:22:00,M6.3,10.6298,9.18382e-05,243.71,3.87697e-07,268.284,15.8787,0.0,0.139824,1888.234,3.5325,245.757,0.0122064
4145,2012-03-10 17:15:00,2012-03-10 17:44:00,2012-03-10 18:30:00,M8.4,N28W26,376.983,387.626,,11429.0,1,1,0.435556,0.0642202,0.669565,1,0.41222,0.102678,0.607367,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,10-Mar-2012 17:15:00,10-Mar-2012 17:44:00,10-Mar-2012 17:15:00,M8.4,10.1009,0.000122293,481.273,4.59358e-07,571.383,16.7158,212.99,0.0675447,1873.89,4.5556,483.32,0.0147608
4566,2012-05-10 04:11:00,2012-05-10 04:18:00,2012-05-10 04:23:00,M5.7,N19E22,-349.42,245.853,N13E22,11476.0,1,1,1.0,1.0,1.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,1,0,0,0,0,0,0.0,0.0,0.0,10-May-2012 04:11:00,10-May-2012 04:18:00,10-May-2012 04:11:00,M5.7,20.5121,8.59989e-05,313.344,1.0989e-06,350.207,15.7711,251.904,0.211677,428.03,3.16603,313.344,0.0389623
4727,2012-06-03 17:48:00,2012-06-03 17:55:00,2012-06-03 17:57:00,M3.3,N19E38,-561.412,265.273,,11496.0,1,1,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0, 3-Jun-2012 17:48:00, 3-Jun-2012 17:55:00, 3-Jun-2012 17:48:00,M3.3,12.1533,4.97869e-05,348.153,7.49819e-07,385.017,13.1791,0.0,0.246664,432.12,2.0536,22.527,0.0933898
4950,2012-07-02 10:43:00,2012-07-02 10:52:00,2012-07-02 10:57:00,M5.6,S14E05,-94.6939,-324.643,S17E08,11515.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0, 2-Jul-2012 10:43:00, 2-Jul-2012 10:52:00, 2-Jul-2012 10:43:00,M5.6,14.864,8.17568e-05,335.866,5.84807e-07,514.04,15.8855,186.363,0.0856987,557.046,2.86169,335.866,0.0193987
