GSTART,GEND,GPEAK,CLASS,LOC,NOAA_AR
" 1-May-2014 01:32:00"," 1-May-2014 01:56:00"," 1-May-2014 01:42:00","B7.2","",""
" 1-May-2014 03:58:00"," 1-May-2014 04:04:00"," 1-May-2014 04:01:00","B6.3","","12048"
" 1-May-2014 17:44:00"," 1-May-2014 17:54:00"," 1-May-2014 17:49:00","B6.8","","12050"
" 1-May-2014 23:29:00"," 1-May-2014 23:36:00"," 1-May-2014 23:33:00","B5.8","","12047"
" 2-May-2014 03:01:00"," 2-May-2014 03:13:00"," 2-May-2014 03:04:00","B9.4","","12047"
" 2-May-2014 07:59:00"," 2-May-2014 08:05:00"," 2-May-2014 08:02:00","C1.3","","12047"
" 2-May-2014 09:17:00"," 2-May-2014 10:01:00"," 2-May-2014 09:40:00","C4.4","","12047"
" 2-May-2014 14:03:00"," 2-May-2014 14:29:00"," 2-May-2014 14:13:00","C1.4","S17E03","12047"
" 2-May-2014 19:36:00"," 2-May-2014 19:45:00"," 2-May-2014 19:40:00","C1.0","","12052"
" 2-May-2014 20:14:00"," 2-May-2014 20:22:00"," 2-May-2014 20:19:00","C2.1","S12E51","12052"
" 2-May-2014 22:01:00"," 2-May-2014 22:11:00"," 2-May-2014 22:05:00","C1.3","","12049"
" 2-May-2014 22:33:00"," 2-May-2014 22:43:00"," 2-May-2014 22:38:00","C1.0","","12052"
" 3-May-2014 01:11:00"," 3-May-2014 01:18:00"," 3-May-2014 01:14:00","B8.7","",""
" 3-May-2014 03:55:00"," 3-May-2014 04:01:00"," 3-May-2014 03:59:00","C2.6","","12051"
" 3-May-2014 04:29:00"," 3-May-2014 04:35:00"," 3-May-2014 04:33:00","C2.0","","12051"
" 3-May-2014 05:31:00"," 3-May-2014 06:44:00"," 3-May-2014 06:08:00","C5.3","","12051"
" 3-May-2014 09:22:00"," 3-May-2014 09:31:00"," 3-May-2014 09:28:00","C1.8","","12051"
" 3-May-2014 10:10:00"," 3-May-2014 10:29:00"," 3-May-2014 10:23:00","C1.1","","12051"
" 3-May-2014 16:02:00"," 3-May-2014 16:26:00"," 3-May-2014 16:11:00","C1.7","S08W03","12049"
" 3-May-2014 16:46:00"," 3-May-2014 16:54:00"," 3-May-2014 16:51:00","C1.4","","12051"
" 3-May-2014 20:18:00"," 3-May-2014 20:31:00"," 3-May-2014 20:25:00","C1.8","S11W37","12047"
" 3-May-2014 23:27:00"," 4-May-2014 00:30:00"," 3-May-2014 23:54:00","C1.1","","12047"
" 4-May-2014 02:19:00"," 4-May-2014 02:37:00"," 4-May-2014 02:23:00","C1.2","","12051"
" 4-May-2014 08:57:00"," 4-May-2014 09:14:00"," 4-May-2014 09:05:00","C2.5","","12051"
" 4-May-2014 12:22:00"," 4-May-2014 12:39:00"," 4-May-2014 12:31:00","C9.2","","12051"
" 4-May-2014 15:54:00"," 4-May-2014 16:04:00"," 4-May-2014 16:01:00","C1.3","S08W13","12049"
" 4-May-2014 17:16:00"," 4-May-2014 17:50:00"," 4-May-2014 17:38:00","C1.4","N10E44","12053"
" 4-May-2014 18:42:00"," 4-May-2014 18:55:00"," 4-May-2014 18:50:00","C1.2","N10E43","12053"
" 4-May-2014 22:52:00"," 4-May-2014 22:59:00"," 4-May-2014 22:56:00","C1.1","","12051"
" 4-May-2014 23:07:00"," 4-May-2014 23:13:00"," 4-May-2014 23:12:00","C1.1","N10E40","12053"
" 5-May-2014 11:57:00"," 5-May-2014 12:39:00"," 5-May-2014 12:23:00","C1.9","","12051"
" 5-May-2014 15:25:00"," 5-May-2014 15:32:00"," 5-May-2014 15:29:00","C1.8","",""
" 5-May-2014 18:10:00"," 5-May-2014 18:35:00"," 5-May-2014 18:28:00","C8.0","","12056"
" 5-May-2014 21:10:00"," 5-May-2014 21:26:00"," 5-May-2014 21:17:00","C2.7","","12051"
" 5-May-2014 23:05:00"," 5-May-2014 23:17:00"," 5-May-2014 23:10:00","C1.5","","12056"
" 6-May-2014 04:19:00"," 6-May-2014 04:50:00"," 6-May-2014 04:32:00","C7.1","S13W86","12051"
" 6-May-2014 08:41:00"," 6-May-2014 09:21:00"," 6-May-2014 09:03:00","M1.8","S15W84","12051"
" 6-May-2014 12:57:00"," 6-May-2014 13:02:00"," 6-May-2014 13:00:00","C1.3","",""
" 6-May-2014 17:10:00"," 6-May-2014 18:20:00"," 6-May-2014 17:35:00","C4.7","","12051"
" 6-May-2014 22:01:00"," 6-May-2014 22:20:00"," 6-May-2014 22:09:00","M1.0","S10W57","12051"
" 6-May-2014 22:45:00"," 6-May-2014 23:00:00"," 6-May-2014 22:53:00","C6.2","","12051"
" 7-May-2014 04:39:00"," 7-May-2014 04:50:00"," 7-May-2014 04:45:00","C1.5","","12051"
" 7-May-2014 06:21:00"," 7-May-2014 06:38:00"," 7-May-2014 06:30:00","C3.6","","12051"
" 7-May-2014 16:07:00"," 7-May-2014 17:03:00"," 7-May-2014 16:29:00","M1.2","N15E50","12055"
" 7-May-2014 19:12:00"," 7-May-2014 19:39:00"," 7-May-2014 19:22:00","C3.9","","12051"
" 8-May-2014 01:21:00"," 8-May-2014 02:06:00"," 8-May-2014 01:40:00","C3.0","","12056"
" 8-May-2014 09:59:00"," 8-May-2014 10:18:00"," 8-May-2014 10:07:00","M5.2","","12056"
" 8-May-2014 14:34:00"," 8-May-2014 15:18:00"," 8-May-2014 14:58:00","C1.3","","12058"
" 9-May-2014 00:48:00"," 9-May-2014 01:03:00"," 9-May-2014 00:55:00","C1.4","N04E42","12056"
" 9-May-2014 05:14:00"," 9-May-2014 05:27:00"," 9-May-2014 05:21:00","C2.4","S16E74","12058"
" 9-May-2014 08:14:00"," 9-May-2014 08:28:00"," 9-May-2014 08:19:00","C3.3","S11E75","12058"
" 9-May-2014 11:14:00"," 9-May-2014 11:28:00"," 9-May-2014 11:19:00","C1.6","S12E72","12058"
" 9-May-2014 11:45:00"," 9-May-2014 11:51:00"," 9-May-2014 11:48:00","C1.2","N14E25","12055"
" 9-May-2014 12:53:00"," 9-May-2014 13:09:00"," 9-May-2014 12:59:00","C1.9","S12E74","12058"
" 9-May-2014 14:13:00"," 9-May-2014 14:38:00"," 9-May-2014 14:19:00","C3.6","S11E72","12058"
" 9-May-2014 14:50:00"," 9-May-2014 15:22:00"," 9-May-2014 15:01:00","C7.8","S15E66","12058"
"10-May-2014 06:51:00","10-May-2014 07:30:00","10-May-2014 07:02:00","C8.7","N03E31","12056"
"10-May-2014 08:31:00","10-May-2014 08:48:00","10-May-2014 08:40:00","C2.1","N14E13","12055"
"10-May-2014 09:22:00","10-May-2014 09:47:00","10-May-2014 09:39:00","C2.4","S16W48","12052"
"10-May-2014 18:17:00","10-May-2014 18:28:00","10-May-2014 18:22:00","B9.7","N05E23","12056"
"10-May-2014 18:31:00","10-May-2014 18:53:00","10-May-2014 18:46:00","C1.8","N05E23","12056"
"10-May-2014 21:52:00","10-May-2014 21:59:00","10-May-2014 21:55:00","C1.1","",""
"10-May-2014 23:47:00","11-May-2014 00:01:00","10-May-2014 23:54:00","C4.2","","12055"
"11-May-2014 04:33:00","11-May-2014 04:49:00","11-May-2014 04:43:00","C6.4","S11E44","12058"
"11-May-2014 05:21:00","11-May-2014 05:28:00","11-May-2014 05:25:00","C2.3","N03E31","12056"
"11-May-2014 08:07:00","11-May-2014 08:14:00","11-May-2014 08:10:00","C1.6","N11W01","12055"
"11-May-2014 09:16:00","11-May-2014 09:22:00","11-May-2014 09:20:00","C1.3","N10W00","12055"
"11-May-2014 13:01:00","11-May-2014 13:18:00","11-May-2014 13:11:00","C1.2","N04E11","12056"
"11-May-2014 17:07:00","11-May-2014 17:19:00","11-May-2014 17:14:00","C3.1","N03E07","12056"
"11-May-2014 17:40:00","11-May-2014 17:49:00","11-May-2014 17:44:00","C1.3","","12060"
"11-May-2014 18:40:00","11-May-2014 19:49:00","11-May-2014 19:16:00","C3.4","N05E10","12056"
"12-May-2014 01:33:00","12-May-2014 02:09:00","12-May-2014 01:51:00","C1.8","N06E07","12056"
"12-May-2014 03:15:00","12-May-2014 03:32:00","12-May-2014 03:21:00","C1.3","S17E36","12060"
