time,6-12 keV,12-25 keV,25-50 keV,50-100 keV,100-300 keV,300-800 keV
09/11/13 05:00,79.8979,448.016,291.897,175.971,169.844,53.1835
09/11/13 05:00,75.7174,421.469,311.936,168.098,170.793,51.9485
09/11/13 05:00,81.355,432.015,267.099,174.227,160.995,55.8703
09/11/13 05:00,73.2753,451.17,314.422,175.714,161.745,45.5826
09/11/13 05:00,82.5807,424.176,297.732,165.407,169.572,49.9895
09/11/13 05:00,87.4789,424.163,303.113,170.792,165.401,49.7429
09/11/13 05:00,80.3754,432.508,296.997,170.308,153.399,55.6257
09/11/13 05:00,79.8898,436.943,300.935,191.392,163.456,54.6485
09/11/13 05:00,71.5572,434.735,302.158,183.549,168.846,55.1383
09/11/13 05:00,81.6055,440.376,281.086,173.994,174.729,57.8346
09/11/13 05:00,79.3996,435.472,298.974,190.412,158.064,53.6683
09/11/13 05:00,72.289,437.9,293.077,173.739,173.739,52.1951
09/11/13 05:00,80.6199,434.956,305.327,180.843,159.77,61.5064
09/11/13 05:00,86.7517,432.778,305.837,168.847,176.689,53.1783
09/11/13 05:01,74.9938,446.531,319.091,174.74,162.732,55.1425
09/11/13 05:01,82.8298,443.066,294.07,165.905,171.786,55.1382
09/11/13 05:01,76.6975,437.887,297.969,169.568,174.959,54.1539
09/11/13 05:01,75.474,422.948,298.465,181.824,168.346,50.2343
09/11/13 05:01,79.6338,427.327,281.536,173.234,163.923,52.9258
09/11/13 05:01,76.6926,428.303,283.983,180.828,163.676,50.475
09/11/13 05:01,72.2829,426.836,285.946,174.214,169.068,50.2305
09/11/13 05:01,82.0951,440.863,307.55,168.846,162.475,49.012
09/11/13 05:01,81.6035,429.337,294.802,173.989,171.294,52.4419
09/11/13 05:01,73.2686,438.877,299.936,177.168,156.339,45.3334
09/11/13 05:01,84.2968,435.942,296.999,174.23,171.289,51.4602
09/11/13 05:01,80.8685,441.346,300.194,177.176,168.354,53.4222
09/11/13 05:01,79.1503,435.939,292.832,182.07,175.699,52.1951
09/11/13 05:01,79.877,429.523,295.006,168.33,155.099,57.5801
09/11/13 05:02,69.8369,429.068,311.448,175.94,164.178,54.3993
09/11/13 05:02,75.9648,426.628,301.164,170.308,155.605,51.46
09/11/13 05:02,75.7173,419.753,308.995,167.852,163.932,52.4385
09/11/13 05:02,79.3915,425.627,292.327,178.386,160.743,54.3979
09/11/13 05:02,75.228,432.255,294.541,178.146,165.159,51.4589
09/11/13 05:02,74.7396,413.151,295.283,184.276,168.593,52.6853
09/11/13 05:02,65.4193,436.864,284.709,173.471,159.996,55.8637
09/11/13 05:02,79.8823,438.618,291.35,177.897,153.884,42.8816
09/11/13 05:02,80.8647,415.596,308.756,178.147,162.955,56.8504
09/11/13 05:02,81.3615,437.195,300.939,179.142,164.929,55.6297
09/11/13 05:02,78.9085,434.732,315.879,164.679,160.513,56.6083
09/11/13 05:02,70.0763,403.306,309.708,173.966,154.854,50.2295
09/11/13 05:02,73.753,428.551,293.542,168.333,170.048,50.2304
09/11/13 05:02,71.5494,435.422,304.085,171.768,155.84,54.3971
09/11/13 05:02,78.8965,417.76,296.72,168.084,149.462,48.024
09/11/13 05:03,80.8617,429.302,297.473,163.929,169.81,48.7621
09/11/13 05:03,73.7575,439.114,307.527,167.608,164.668,40.6769
09/11/13 05:03,73.0167,421.439,302.358,176.171,161.96,38.9586
09/11/13 05:03,73.9978,414.094,310.203,167.598,157.307,51.2104
09/11/13 05:03,79.386,433.683,286.672,177.393,153.137,43.6133
09/11/13 05:03,80.6121,445.449,295.741,168.575,163.919,45.574
09/11/13 05:03,76.688,412.106,296.707,168.077,160.481,47.7769
09/11/13 05:03,71.7923,424.383,301.626,176.173,158.531,44.8396
09/11/13 05:03,77.9171,425.114,305.298,175.926,159.265,49.2495
09/11/13 05:03,82.5697,425.344,296.957,167.345,152.399,50.4729
09/11/13 05:03,72.036,445.692,284.959,177.64,156.568,46.7989
09/11/13 05:03,73.0116,432.68,279.306,173.464,163.909,47.2861
09/11/13 05:03,72.2745,422.377,320.948,175.419,139.159,48.9996
09/11/13 05:03,72.0258,407.901,286.143,172.96,144.297,53.1619
09/11/13 05:03,71.2978,423.866,286.416,170.772,164.891,53.9021
09/11/13 05:04,71.3,422.655,303.086,176.167,153.381,47.7784
09/11/13 05:04,72.2796,420.937,288.138,167.346,157.79,48.2681
09/11/13 05:04,71.5421,427.783,280.288,167.83,163.91,46.5514
09/11/13 05:04,66.3917,420.644,292.271,163.407,157.037,44.8328
09/11/13 05:04,69.8261,410.137,291.555,161.703,168.073,47.2857
09/11/13 05:04,70.8093,424.366,301.123,162.2,158.525,50.4731
09/11/13 05:04,73.0131,422.398,298.668,164.647,155.092,50.4721
09/11/13 05:04,79.867,425.059,291.784,169.534,148.219,48.5082
09/11/13 05:04,74.9727,415.535,314.836,169.546,144.31,46.7967
09/11/13 05:04,69.333,420.163,295.216,169.29,151.406,45.3237
