XCEN,YCEN,FOVX,FOVY
48.1087,-251.635,179.712,152.000
48.9584,-251.558,179.712,152.000
49.6536,-251.712,179.712,152.000
50.5034,-251.558,179.712,152.000
51.3531,-251.558,179.712,152.000
52.1256,-251.558,179.712,152.000
52.9753,-251.480,179.712,152.000
53.8250,-251.480,179.712,152.000
54.5203,-251.403,179.712,152.000
32.0711,-251.558,161.741,152.000
32.7663,-251.712,161.741,152.000
33.3843,-251.558,161.741,152.000
34.1568,-251.789,161.741,152.000
34.7748,-251.635,161.741,152.000
35.3155,-251.712,161.741,152.000
36.0107,-251.635,161.741,152.000
36.7059,-251.789,161.741,152.000
37.2467,-251.712,161.741,152.000
37.8647,-251.712,161.741,152.000
38.7144,-251.712,161.741,152.000
39.2551,-251.789,161.741,152.000
39.8731,-251.712,161.741,152.000
40.4911,-251.558,161.741,152.000
