XCEN,YCEN,FOVX,FOVY
50,-269,223,111
50,-270,223,111
50,-269,223,111
50,-269,225,112
50,-269,223,111
50,-269,223,111
50,-269,223,111
50,-269,223,111
51,-269,223,111
51,-269,223,111
51,-269,225,112
51,-269,223,111
51,-269,223,111
51,-269,223,111
51,-269,223,111
51,-269,223,111
52,-270,225,112
52,-269,223,111
54,-269,223,111
54,-269,225,112
54,-270,223,111
54,-270,223,111
54,-270,223,111
54,-269,223,111
55,-269,223,111
55,-270,223,111
55,-269,225,112
55,-270,223,111
55,-269,223,111
55,-269,223,111
55,-270,223,111
55,-269,223,111
56,-269,225,112
56,-269,223,111
56,-269,223,111
56,-270,223,111
56,-270,223,111
56,-269,223,111
56,-270,223,111
56,-270,225,112
56,-270,223,111
57,-270,223,111
57,-269,223,111
57,-269,223,111
57,-269,223,111
57,-269,225,112
57,-270,223,111
57,-270,223,111
57,-269,223,111
57,-270,223,111
58,-269,223,111
58,-270,223,111
58,-269,225,112
58,-269,223,111
58,-270,223,111
58,-270,223,111
58,-269,223,111
59,-270,223,111
59,-269,225,112
59,-270,223,111
59,-269,223,111
59,-270,223,111
59,-269,223,111
59,-269,223,111
59,-269,223,111
59,-270,225,112
59,-269,223,111
60,-270,223,111
60,-270,223,111
60,-270,223,111
60,-269,223,111
60,-269,225,112
60,-269,223,111
60,-270,223,111
60,-269,223,111
61,-269,223,111
61,-269,223,111
61,-269,223,111
61,-269,225,112
61,-269,223,111
61,-269,223,111
61,-269,223,111
61,-269,223,111
62,-269,223,111
62,-269,225,112
62,-269,223,111
62,-269,223,111
62,-269,223,111
62,-269,223,111
62,-269,223,111
62,-269,223,111
62,-269,225,112
62,-269,223,111
63,-269,223,111
63,-269,223,111
63,-269,223,111
63,-269,223,111
63,-269,225,112
63,-269,223,111
63,-269,223,111
63,-269,223,111
64,-269,223,111
64,-269,223,111
64,-269,223,111
64,-269,225,112
64,-269,223,111
64,-269,223,111
64,-269,223,111
64,-269,223,111
65,-269,223,111
65,-269,225,112
65,-269,223,111
65,-269,223,111
65,-269,223,111
65,-269,223,111
65,-269,223,111
65,-269,223,111
65,-269,225,112
66,-269,223,111
66,-269,223,111
66,-269,223,111
66,-269,223,111
-84,-269,0,162
-84,-269,0,162
-83,-269,0,162
-83,-269,0,162
-83,-269,0,162
-82,-269,0,162
-82,-269,0,162
66,-269,223,111
-82,-269,0,162
66,-269,225,112
-81,-269,0,162
-81,-269,0,162
-81,-269,0,162
-81,-269,0,162
-80,-269,0,162
-80,-269,0,162
-80,-269,0,162
66,-269,223,111
-79,-269,0,162
-79,-269,0,162
-79,-269,0,162
-78,-269,0,162
-78,-269,0,162
-78,-269,0,162
-77,-269,0,162
-77,-269,0,162
66,-269,223,111
-77,-269,0,162
-77,-269,0,162
-76,-269,0,162
-76,-269,0,162
-76,-269,0,162
-75,-269,0,162
-75,-269,0,162
-75,-269,0,162
-75,-269,0,162
-74,-269,0,162
-74,-269,0,162
-74,-269,0,162
-73,-269,0,162
-73,-269,0,162
-73,-269,0,162
-72,-269,0,162
66,-269,223,111
-72,-269,0,162
-72,-269,0,162
-71,-269,0,162
-71,-269,0,162
-71,-269,0,162
-71,-269,0,162
-70,-269,0,162
-70,-269,0,162
-70,-269,0,162
-69,-269,0,162
-69,-269,0,162
-69,-269,0,162
-68,-269,0,162
-68,-269,0,162
-68,-269,0,162
-67,-269,0,162
67,-269,223,111
-67,-269,0,162
-67,-269,0,162
-67,-269,0,162
-66,-269,0,162
-66,-269,0,162
-66,-269,0,162
-65,-269,0,162
-65,-269,0,162
-65,-269,0,162
-64,-269,0,162
-64,-269,0,162
-64,-269,0,162
-64,-269,0,162
-63,-269,0,162
-63,-269,0,162
67,-269,223,111
-63,-269,0,162
-62,-269,0,162
-62,-269,0,162
-62,-269,0,162
-61,-269,0,162
-61,-269,0,162
-61,-269,0,162
-60,-269,0,162
-60,-269,0,162
-60,-269,0,162
-60,-269,0,162
-59,-269,0,162
-59,-269,0,162
-59,-269,0,162
-58,-269,0,162
-58,-269,0,162
67,-269,223,111
-58,-269,0,162
67,-269,225,112
-57,-269,0,162
-57,-269,0,162
-57,-269,0,162
-57,-269,0,162
-56,-269,0,162
-56,-269,0,162
-56,-269,0,162
-55,-269,0,162
-55,-269,0,162
-55,-269,0,162
-54,-269,0,162
-54,-269,0,162
-54,-269,0,162
-53,-269,0,162
-53,-269,0,162
67,-269,223,111
-53,-269,0,162
-53,-269,0,162
-52,-269,0,162
-52,-269,0,162
-52,-269,0,162
-51,-269,0,162
-51,-269,0,162
-51,-269,0,162
