GSTART,GEND,GPEAK,CLASS,LOC,NOAA_AR
" 1-Oct-2023 00:40:00"," 1-Oct-2023 00:51:00"," 1-Oct-2023 00:45:00","C3.1","",""
" 1-Oct-2023 01:02:00"," 1-Oct-2023 01:10:00"," 1-Oct-2023 01:06:00","C3.0","",""
" 1-Oct-2023 01:10:00"," 1-Oct-2023 01:43:00"," 1-Oct-2023 01:32:00","M2.5","",""
" 1-Oct-2023 03:21:00"," 1-Oct-2023 03:30:00"," 1-Oct-2023 03:24:00","C9.3","",""
" 1-Oct-2023 05:10:00"," 1-Oct-2023 05:21:00"," 1-Oct-2023 05:15:00","C3.6","S18E30","13450"
" 1-Oct-2023 09:08:00"," 1-Oct-2023 09:25:00"," 1-Oct-2023 09:15:00","C2.5","N13W12","13449"
" 1-Oct-2023 09:39:00"," 1-Oct-2023 10:01:00"," 1-Oct-2023 09:51:00","C5.0","",""
" 1-Oct-2023 11:06:00"," 1-Oct-2023 11:18:00"," 1-Oct-2023 11:14:00","C3.6","",""
" 1-Oct-2023 14:10:00"," 1-Oct-2023 14:41:00"," 1-Oct-2023 14:29:00","C2.9","",""
" 1-Oct-2023 14:41:00"," 1-Oct-2023 15:02:00"," 1-Oct-2023 14:48:00","C3.4","",""
" 1-Oct-2023 19:11:00"," 1-Oct-2023 19:25:00"," 1-Oct-2023 19:19:00","C2.3","",""
" 1-Oct-2023 20:08:00"," 1-Oct-2023 20:21:00"," 1-Oct-2023 20:15:00","C2.1","",""
