GEV_START,GEV_PEAK,GEV_END,GOES_CLASS,AIA_LOC,AIA_XCEN,AIA_YCEN
"2010-12-31T07:33:00","2010-12-31T07:34:00","2010-12-31T07:38:00","B1.5","N33E93",-800.550,539.413
"2011-01-01T00:49:00","2011-01-01T00:53:00","2011-01-01T00:57:00","B2.2","N32E77",-789.516,503.349
"2011-01-01T18:11:00","2011-01-01T18:14:00","2011-01-01T18:20:00","B2.1","N34E64",-717.689,511.873
"2011-01-02T16:01:00","2011-01-02T16:07:00","2011-01-02T16:10:00","B3.0","N34E56",-664.504,502.993
"2011-01-02T19:06:00","2011-01-02T19:15:00","2011-01-02T19:24:00","B1.5","N35E52",-625.485,505.738
"2011-01-02T20:09:00","2011-01-02T20:12:00","2011-01-02T20:16:00","B2.3","N43E49",-532.554,619.292
"2011-01-03T23:26:00","2011-01-03T23:35:00","2011-01-03T23:46:00","C1.1","S06E05",-98.9204,-198.639
"2011-01-04T02:22:00","2011-01-04T02:25:00","2011-01-04T02:27:00","B2.9","N41W56",604.338,590.301
"2011-01-04T03:19:00","2011-01-04T03:25:00","2011-01-04T03:27:00","C1.9","N41W55",595.108,590.980
"2011-01-04T05:57:00","2011-01-04T06:02:00","2011-01-04T06:05:00","B9.4","N40W56",611.652,576.801
"2011-01-04T07:56:00","2011-01-04T08:01:00","2011-01-04T08:08:00","B3.3","N39W58",629.772,575.552
"2011-01-04T09:35:00","2011-01-04T09:39:00","2011-01-04T09:41:00","B3.6","N39W58",629.769,575.617
"2011-01-04T09:43:00","2011-01-04T09:47:00","2011-01-04T09:49:00","B6.4","N39W60",647.112,574.250
"2011-01-04T19:42:00","2011-01-04T19:45:00","2011-01-04T19:48:00","B1.9","N37W68",709.602,555.582
"2011-01-04T23:39:00","2011-01-04T23:45:00","2011-01-04T23:45:00","B4.2","N44E15",-180.353,607.185
"2011-01-05T23:23:00","2011-01-05T23:27:00","2011-01-05T23:29:00","B4.0","S15E42",-630.161,-325.441
"2011-01-05T23:50:00","2011-01-05T23:58:00","2011-01-06T00:05:00","B1.8","N43E01",-14.1631,596.559
"2011-01-07T00:01:00","2011-01-07T00:06:00","2011-01-07T00:09:00","B1.2","S23W53",715.608,-427.199
"2011-01-07T06:59:00","2011-01-07T07:05:00","2011-01-07T07:14:00","B1.7","N36W94",776.988,589.214
"2011-01-07T15:12:00","2011-01-07T15:20:00","2011-01-07T15:20:00","B5.1","N43W21",250.721,596.323
"2011-01-08T09:18:00","2011-01-08T09:23:00","2011-01-08T09:27:00","B2.5","S26W75",836.418,-443.458
"2011-01-09T13:46:00","2011-01-09T13:51:00","2011-01-09T13:56:00","B1.3","N39W51",579.814,571.120
"2011-01-10T08:45:00","2011-01-10T08:49:00","2011-01-10T08:52:00","B2.0","N40W61",639.301,592.973
"2011-01-10T08:58:00","2011-01-10T09:04:00","2011-01-10T09:06:00","B2.5","S10W83",940.148,-190.767
"2011-01-10T10:00:00","2011-01-10T10:13:00","2011-01-10T10:13:00","B2.8","N40W66",678.666,588.802
"2011-01-10T13:43:00","2011-01-10T13:47:00","2011-01-10T13:49:00","B2.3","N39W62",655.408,578.714
"2011-01-10T19:16:00","2011-01-10T19:21:00","2011-01-10T19:27:00","B1.7","N39W68",685.914,588.190
"2011-01-10T20:42:00","2011-01-10T21:06:00","2011-01-10T21:12:00","B2.5","N38W68",701.343,573.684
"2011-01-11T06:06:00","2011-01-11T06:15:00","2011-01-11T06:22:00","B1.4","N40W74",710.085,597.419
"2011-01-11T11:15:00","2011-01-11T11:21:00","2011-01-11T11:28:00","B1.4","N25E21",-321.927,333.146
"2011-01-11T17:43:00","2011-01-11T17:50:00","2011-01-11T17:50:00","B3.1","S15W88",937.338,-266.915
"2011-01-11T18:46:00","2011-01-11T18:52:00","2011-01-11T18:52:00","B1.6","S16W88",932.508,-283.197
