"2004-1-29 to 2004-2-28"
"2004-3-29 to 2004-4-28"
"2004-4-28 to 2004-5-28"
"2004-5-28 to 2004-6-27"
"2004-6-27 to 2004-7-27"
"2004-7-27 to 2004-8-26"
"2004-8-26 to 2004-9-25"
"2004-9-25 to 2004-10-25"
"2004-10-25 to 2004-11-24"
"2004-11-24 to 2004-12-24"
"2004-12-24 to 2005-1-23"
"2005-1-23 to 2005-2-22"
"2005-2-22 to 2005-3-24"
"2005-3-24 to 2005-4-23"
"2005-4-23 to 2005-5-23"
"2005-5-23 to 2005-6-22"
"2005-6-22 to 2005-7-22"
"2005-7-22 to 2005-8-21"
"2005-8-21 to 2005-9-20"
"2005-9-20 to 2005-10-20"
"2005-10-20 to 2005-11-19"
"2005-11-19 to 2005-12-19"
"2005-12-19 to 2006-1-18"
"2006-1-18 to 2006-2-17"
"2006-2-17 to 2006-3-19"
"2006-3-19 to 2006-4-18"
"2006-4-18 to 2006-5-18"
"2006-5-18 to 2006-6-17"
"2006-6-17 to 2006-7-17"
"2006-7-17 to 2006-8-16"
"2006-8-16 to 2006-9-15"
"2006-9-15 to 2006-10-15"
"2006-10-15 to 2006-11-14"
"2006-11-14 to 2006-12-14"
"2007-1-13 to 2007-2-12"
"2007-2-12 to 2007-3-14"
"2007-3-14 to 2007-4-13"
"2007-4-13 to 2007-5-13"
"2007-6-12 to 2007-7-12"
"2007-7-12 to 2007-8-11"
"2007-8-11 to 2007-9-10"
"2007-9-10 to 2007-10-10"
"2007-10-10 to 2007-11-9"
"2007-11-9 to 2007-12-9"
"2007-12-9 to 2008-1-8"
"2008-7-6 to 2008-8-5"
"2008-8-5 to 2008-9-4"
"2008-9-4 to 2008-10-4"
"2019-9-7 to 2019-10-7"
"2023-11-15 to 2023-12-15"
