gstart,gpeak,gend,gclass,contrasts,sxr_max,sxrderivmax_t,sxrderivmax,tempmax_t,tempmax,tempderivmax_t,tempderivmax,emismax_t,emismax,emisderivmax_t,emisderivmax
" 9-Mar-2012 03:22:00"," 9-Mar-2012 03:53:00"," 9-Mar-2012 03:22:00","M6.3",10.62980000000000,9.18382e-05,"       243.71000",3.87697e-07,"       268.28400",15.8787,"       0.0000000",0.139824,"       1888.2340",3.53250,"       245.75700",0.0122064
"10-Mar-2012 17:15:00","10-Mar-2012 17:44:00","10-Mar-2012 17:15:00","M8.4",10.10090000000000,0.000122293,"       481.27300",4.59358e-07,"       571.38300",16.7158,"       212.99000",0.0675447,"       1873.8900",4.55560,"       483.32000",0.0147608
"10-May-2012 04:11:00","10-May-2012 04:18:00","10-May-2012 04:11:00","M5.7",20.51210000000000,8.59989e-05,"       313.34400",1.09890e-06,"       350.20700",15.7711,"       251.90400",0.211677,"       428.03000",3.16603,"       313.34400",0.0389623
" 3-Jun-2012 17:48:00"," 3-Jun-2012 17:55:00"," 3-Jun-2012 17:48:00","M3.3",12.15330000000000,4.97869e-05,"       348.15300",7.49819e-07,"       385.01700",13.1791,"       0.0000000",0.246664,"       432.12000",2.05360,"       22.527000",0.0933898
" 2-Jul-2012 10:43:00"," 2-Jul-2012 10:52:00"," 2-Jul-2012 10:43:00","M5.6",14.86400000000000,8.17568e-05,"       335.86600",5.84807e-07,"       514.04000",15.8855,"       186.36300",0.0856987,"       557.04600",2.86169,"       335.86600",0.0193987
" 2-Jul-2012 19:59:00"," 2-Jul-2012 20:07:00"," 2-Jul-2012 19:59:00","M3.8",10.36030000000000,5.49602e-05,"       249.85300",3.56490e-07,"       335.87000",15.9072,"       159.74300",0.0704853,"       559.10000",2.08251,"       249.85300",0.0123747
" 2-Jul-2012 23:49:00"," 2-Jul-2012 23:56:00"," 2-Jul-2012 23:49:00","M2.0",11.23200000000000,3.00227e-05,"       255.99600",1.80064e-07,"       321.53300",13.2344,"       245.75600",0.0461811,"       438.27000",1.26037,"       255.99600",0.00695688
"22-Oct-2013 21:15:00","22-Oct-2013 21:20:00","22-Oct-2013 21:15:00","M4.2",10.47270000000000,6.57864e-05,"       255.99700",1.22003e-06,"       276.47700",15.8490,"       192.51000",0.150674,"       313.34000",2.41510,"       255.99700",0.0399089
"24-Oct-2013 00:21:00","24-Oct-2013 00:30:00","24-Oct-2013 00:21:00","M9.3",12.90930000000000,0.000134660,"       417.79000",5.36866e-07,"       442.36700",15.3913,"       159.74300",0.0410777,"       643.07000",5.14851,"       417.79000",0.0177814
"28-Oct-2013 15:07:00","28-Oct-2013 15:15:00","28-Oct-2013 15:07:00","M4.4",11.05320000000000,6.35282e-05,"       202.75000",2.35167e-07,"       301.05400",14.4624,"       219.13400",0.0275479,"       587.76700",2.72464,"       176.12700",0.00761548
"31-Dec-2013 21:45:00","31-Dec-2013 21:58:00","31-Dec-2013 21:45:00","M6.4",10.10920000000000,9.30308e-05,"       464.89700",4.59458e-07,"       720.89700",15.3912,"       276.48000",0.0663274,"       899.07300",3.32420,"       464.89700",0.0162239
" 1-Jan-2014 18:40:00"," 1-Jan-2014 18:52:00"," 1-Jan-2014 18:40:00","M9.9",12.03310000000000,0.000143749,"       425.98000",6.17463e-07,"       483.32400",14.9962,"       317.43700",0.0651995,"       731.13400",5.46673,"       425.98000",0.0214474
"14-Feb-2014 12:29:00","14-Feb-2014 12:40:00","14-Feb-2014 12:29:00","M1.6",10.64910000000000,2.31578e-05,"       624.63300",1.43409e-07,"       665.59300",12.3893,"       0.0000000",0.126717,"       692.21600",0.978253,"       16.386000",0.0128657
"25-Jun-2015 08:02:00","25-Jun-2015 08:16:00","25-Jun-2015 08:02:00","M7.9",26.78500000000000,0.000114515,"       759.80400",1.87335e-06,"       806.90700",16.2164,"       188.41400",0.0562390,"       913.40400",4.12878,"       759.80400",0.0689029
