; DATA_list: 20131109_EVE_L0CS_DIODES_1m.txt
; Created: Sat Nov  9 23:59:07 2013 UTC
; Origin: SDO/EVE Science Processing and Operations Center, LASP/CU
; Units: W/m^2 for irradiance, dark is counts/(0.25s sample), quadrants are unitless, solar lat & lon are deg
; Source: SDO-EVE ESP and MEGS-P instruments, http://lasp.colorado.edu/eve
; Product: Level 0CS, 1-minute averaged SDO-EVE Solar Indices from broadband photometers
; Version: 3.0, code updated 2013-Feb-02
; Missing data: -1.00e+00
; Column descriptions:
;  HHMM: hour and minute in UT
;  XRS-B proxy: a model of the expected XRS-B 0.1-0.8 nm value, calculated using two-component method
;  XRS-A proxy: a model of the expected XRS-A value
;  SEM proxy: a model of the expected SEM 26-34 nm value
;  0.1-7ESPquad: the total irradiance over the ESP quadrant diode 0.1-7 nm
;  17.1ESP: ESP irradiance measurement near 17.1 nm
;  25.7ESP: ESP irradiance measurement near 25.7 nm
;  30.4ESP: ESP irradiance measurement near 30.4 nm
;  36.6ESP: ESP irradiance measurement near 36.6 nm
;  darkESP: ESP dark diode count rates (background)
;  121.6MEGS-P: MEGS-P irradiance measurement at H I Lyman-alpha 121.6 nm
;  darkMEGS-P: MEGS-P dark diode count rates (background)
;  q0ESP: ESP quadrant 0 fraction (q0ESP to q3ESP add up to 1.0)
;  q1ESP: ESP quadrant 1 fraction
;  q2ESP: ESP quadrant 2 fraction
;  q3ESP: ESP quadrant 3 fraction
;  CMLat: Latitude centroid of ESP quad diode irradiance at the sun in degrees
;  CMLon: Longitude centroid of ESP quad diode irradiance at the sun in degrees
;  x_cool proxy: Cool component for calculating XRS-B proxy
;  oldXRSB proxy: XRS-B calculated using the version 2 method
; Format:
;  YYYY DOY MO DD
;  HHMM XRS-B    XRS-A      SEM      0.1-7     17.1      25.7      30.4      36.6      dark      121.6     dark      q0        q1        q2        q3        CM    CM       x_cool oldXRSB
;       proxy    proxy     proxy     ESPquad   ESP       ESP       ESP       ESP       ESP       MEGS-P    MEGS-P    ESP       ESP       ESP       ESP       Lat   Lon      proxy  proxy
;---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
;END_OF_HEADER
2013 313 11 09
0000  9.11e-07  3.24e-08  8.27e-04  8.65e-04  8.74e-04  5.20e-04  9.26e-04  7.46e+00  4.93e+01  6.52e-03  3.93e+01  3.17e-01  1.77e-01  3.28e-01  1.78e-01 -16.2  -2.6  1.86e+03  1.25e-06
0001  9.39e-07  3.35e-08  8.26e-04  8.68e-04  8.74e-04  5.19e-04  9.24e-04  8.03e+00  4.93e+01  6.52e-03  3.93e+01  3.17e-01  1.78e-01  3.28e-01  1.76e-01 -16.3  -3.2  1.86e+03  1.27e-06
0002  9.59e-07  3.42e-08  8.26e-04  8.77e-04  8.74e-04  5.19e-04  9.24e-04  8.85e+00  4.93e+01  6.52e-03  3.93e+01  3.20e-01  1.77e-01  3.28e-01  1.75e-01 -16.7  -4.0  1.86e+03  1.28e-06
0003  9.65e-07  3.45e-08  8.26e-04  8.81e-04  8.74e-04  5.19e-04  9.24e-04  9.56e+00  4.93e+01  6.52e-03  3.93e+01  3.21e-01  1.76e-01  3.26e-01  1.76e-01 -16.6  -4.2  1.86e+03  1.29e-06
0004  9.77e-07  3.50e-08  8.25e-04  8.84e-04  8.74e-04  5.19e-04  9.23e-04  1.03e+01  4.93e+01  6.52e-03  3.93e+01  3.21e-01  1.76e-01  3.26e-01  1.76e-01 -16.6  -4.2  1.86e+03  1.30e-06
0005  9.95e-07  3.57e-08  8.25e-04  8.89e-04  8.74e-04  5.18e-04  9.23e-04  1.09e+01  4.93e+01  6.52e-03  3.93e+01  3.22e-01  1.77e-01  3.25e-01  1.75e-01 -16.6  -5.2  1.87e+03  1.31e-06
0006  1.02e-06  3.68e-08  8.26e-04  8.96e-04  8.74e-04  5.18e-04  9.24e-04  1.16e+01  4.93e+01  6.51e-03  3.94e+01  3.24e-01  1.77e-01  3.24e-01  1.75e-01 -16.7  -5.8  1.87e+03  1.34e-06
0007  1.06e-06  3.82e-08  8.27e-04  9.05e-04  8.74e-04  5.18e-04  9.25e-04  1.22e+01  4.94e+01  6.51e-03  3.94e+01  3.24e-01  1.77e-01  3.25e-01  1.74e-01 -16.7  -5.9  1.87e+03  1.36e-06
0008  1.10e-06  4.00e-08  8.28e-04  9.14e-04  8.75e-04  5.19e-04  9.27e-04  1.27e+01  4.93e+01  6.51e-03  3.94e+01  3.24e-01  1.77e-01  3.25e-01  1.74e-01 -16.8  -5.9  1.87e+03  1.39e-06
0009  1.15e-06  4.17e-08  8.29e-04  9.24e-04  8.75e-04  5.19e-04  9.28e-04  1.28e+01  4.93e+01  6.51e-03  3.94e+01  3.26e-01  1.77e-01  3.24e-01  1.73e-01 -17.1  -6.8  1.87e+03  1.43e-06
0010  1.22e-06  4.48e-08  8.29e-04  9.42e-04  8.75e-04  5.19e-04  9.29e-04  1.32e+01  4.93e+01  6.51e-03  3.93e+01  3.29e-01  1.76e-01  3.24e-01  1.71e-01 -17.5  -7.9  1.87e+03  1.48e-06
0011  1.28e-06  4.74e-08  8.29e-04  9.59e-04  8.75e-04  5.19e-04  9.28e-04  1.32e+01  4.93e+01  6.51e-03  3.93e+01  3.32e-01  1.75e-01  3.25e-01  1.69e-01 -18.0  -8.7  1.87e+03  1.53e-06
0012  1.34e-06  4.99e-08  8.29e-04  9.75e-04  8.75e-04  5.19e-04  9.28e-04  1.34e+01  4.93e+01  6.51e-03  3.93e+01  3.33e-01  1.75e-01  3.23e-01  1.69e-01 -18.1  -9.4  1.87e+03  1.57e-06
0013  1.42e-06  5.34e-08  8.29e-04  9.91e-04  8.75e-04  5.19e-04  9.28e-04  1.32e+01  4.93e+01  6.51e-03  3.93e+01  3.34e-01  1.75e-01  3.22e-01  1.68e-01 -18.0 -10.3  1.88e+03  1.63e-06
0014  1.52e-06  5.77e-08  8.29e-04  1.01e-03  8.75e-04  5.19e-04  9.29e-04  1.32e+01  4.93e+01  6.52e-03  3.93e+01  3.36e-01  1.75e-01  3.21e-01  1.67e-01 -18.3 -11.3  1.88e+03  1.70e-06
0015  1.59e-06  6.06e-08  8.30e-04  1.03e-03  8.76e-04  5.19e-04  9.30e-04  1.34e+01  4.93e+01  6.52e-03  3.93e+01  3.38e-01  1.76e-01  3.20e-01  1.66e-01 -18.3 -12.2  1.88e+03  1.75e-06
0016  1.65e-06  6.38e-08  8.31e-04  1.04e-03  8.76e-04  5.19e-04  9.31e-04  1.37e+01  4.92e+01  6.51e-03  3.93e+01  3.39e-01  1.76e-01  3.20e-01  1.66e-01 -18.3 -12.9  1.88e+03  1.80e-06
0017  1.70e-06  6.59e-08  8.32e-04  1.05e-03  8.76e-04  5.20e-04  9.32e-04  1.41e+01  4.92e+01  6.51e-03  3.94e+01  3.40e-01  1.76e-01  3.19e-01  1.65e-01 -18.5 -13.5  1.88e+03  1.83e-06
0018  1.73e-06  6.74e-08  8.32e-04  1.06e-03  8.76e-04  5.20e-04  9.32e-04  1.44e+01  4.92e+01  6.51e-03  3.93e+01  3.40e-01  1.76e-01  3.19e-01  1.65e-01 -18.5 -13.8  1.88e+03  1.85e-06
0019  1.77e-06  6.92e-08  8.32e-04  1.07e-03  8.76e-04  5.19e-04  9.33e-04  1.44e+01  4.92e+01  6.51e-03  3.93e+01  3.41e-01  1.76e-01  3.19e-01  1.64e-01 -18.6 -14.6  1.88e+03  1.88e-06
0020  1.77e-06  6.93e-08  8.32e-04  1.08e-03  8.77e-04  5.19e-04  9.33e-04  1.33e+01  4.92e+01  6.51e-03  3.93e+01  3.41e-01  1.76e-01  3.19e-01  1.64e-01 -18.6 -14.4  1.88e+03  1.88e-06
0021  1.80e-06  7.08e-08  8.33e-04  1.08e-03  8.77e-04  5.18e-04  9.34e-04  1.21e+01  4.92e+01  6.51e-03  3.93e+01  3.40e-01  1.76e-01  3.19e-01  1.65e-01 -18.5 -13.8  1.88e+03  1.90e-06
0022  1.80e-06  7.09e-08  8.33e-04  1.08e-03  8.77e-04  5.18e-04  9.34e-04  1.07e+01  4.92e+01  6.51e-03  3.93e+01  3.40e-01  1.76e-01  3.19e-01  1.65e-01 -18.5 -13.7  1.89e+03  1.91e-06
0023  1.82e-06  7.23e-08  8.32e-04  1.09e-03  8.77e-04  5.18e-04  9.32e-04  9.40e+00  4.93e+01  6.51e-03  3.93e+01  3.39e-01  1.76e-01  3.20e-01  1.65e-01 -18.4 -13.1  1.89e+03  1.93e-06
0024  1.82e-06  7.21e-08  8.31e-04  1.09e-03  8.77e-04  5.18e-04  9.32e-04  8.14e+00  4.93e+01  6.51e-03  3.93e+01  3.38e-01  1.77e-01  3.20e-01  1.65e-01 -18.3 -13.3  1.89e+03  1.92e-06
0025  1.84e-06  7.30e-08  8.31e-04  1.09e-03  8.77e-04  5.18e-04  9.32e-04  6.97e+00  4.93e+01  6.52e-03  3.93e+01  3.38e-01  1.77e-01  3.20e-01  1.65e-01 -18.3 -13.5  1.89e+03  1.94e-06
0026  1.85e-06  7.37e-08  8.31e-04  1.09e-03  8.77e-04  5.18e-04  9.31e-04  5.89e+00  4.93e+01  6.51e-03  3.93e+01  3.37e-01  1.77e-01  3.20e-01  1.66e-01 -18.1 -12.5  1.89e+03  1.95e-06
0027  1.85e-06  7.37e-08  8.30e-04  1.09e-03  8.77e-04  5.18e-04  9.30e-04  4.89e+00  4.92e+01  6.51e-03  3.93e+01  3.35e-01  1.76e-01  3.21e-01  1.68e-01 -18.0 -11.3  1.89e+03  1.95e-06
0028  1.86e-06  7.45e-08  8.30e-04  1.09e-03  8.77e-04  5.18e-04  9.29e-04  3.97e+00  4.92e+01  6.51e-03  3.93e+01  3.34e-01  1.75e-01  3.22e-01  1.69e-01 -18.0 -10.4  1.89e+03  1.96e-06
0029  1.84e-06  7.35e-08  8.30e-04  1.09e-03  8.77e-04  5.18e-04  9.29e-04  3.14e+00  4.92e+01  6.51e-03  3.93e+01  3.35e-01  1.76e-01  3.21e-01  1.68e-01 -18.0 -10.7  1.89e+03  1.94e-06
